name	chrom	strand	txStart	txEnd
NM_001350218	chr1	+	66999638	67216822
NM_001350217	chr1	+	66999638	67216822
NM_001308203	chr1	+	66999251	67216822
NM_032291	chr1	+	66999638	67216822
NM_001350398	chr1	+	33546713	33586132
NR_146649	chr1	+	33546713	33586132
NR_146648	chr1	+	33546729	33586132
NR_126031	chr1	+	33547778	33567493
NM_001293562	chr1	+	33546713	33586132
NM_001145278	chr1	+	16767166	16786584
NM_001145277	chr1	+	16767166	16786584
NM_001350402	chr1	+	33547778	33586132
NM_001350401	chr1	+	33546713	33586132
NM_001350400	chr1	+	33546713	33586132
NM_001350399	chr1	+	33546729	33586132
NM_001301825	chr1	+	33547778	33586132
NM_001301824	chr1	+	33546729	33586132
NM_001301823	chr1	+	33546729	33586132
NM_013943	chr1	+	25071759	25170815
NM_018090	chr1	+	16767166	16786584
NM_001080397	chr1	+	8378144	8404227
NM_001301826	chr1	+	33547778	33567493
NM_052998	chr1	+	33546713	33586132
NM_001303229	chr1	+	150980866	151008189
NM_001303243	chr1	+	150980866	151008189
NM_001303242	chr1	+	150980866	151008189
NR_130135	chr1	+	150980866	151008189
NR_130132	chr1	+	150980866	151008189
NR_130131	chr1	+	150980866	151008189
NR_130130	chr1	+	150980866	151008189
NM_030806	chr1	+	184356149	184598155
NM_021222	chr1	+	150980866	151008189
NM_001350806	chr1	+	2004900	2116838
NM_001350803	chr1	+	2004900	2116838
NM_001242874	chr1	+	2005424	2116838
NM_001350804	chr1	+	2004900	2116838
NM_001349610	chr1	+	6845383	7829766
NM_001349609	chr1	+	6845383	7829766
NM_002744	chr1	+	1981908	2116838
NM_015215	chr1	+	6845383	7829766
NM_022114	chr1	+	2985741	3355185
NM_001349612	chr1	+	6845383	7829766
NM_001349608	chr1	+	6845383	7829766
NM_001350805	chr1	+	2005424	2116838
NR_146911	chr1	+	2004900	2116838
NM_199454	chr1	+	2985741	3355185
NM_001033582	chr1	+	2036154	2116838
NM_001033581	chr1	+	2004900	2116838
NM_001291381	chr1	+	13629931	13635299
NM_001039361	chr1	+	13629924	13635299
NM_032409	chr1	+	20959947	20978004
NM_001309193	chr1	+	23037330	23247993
NM_001309192	chr1	+	23037330	23247993
NM_004442	chr1	+	23037330	23247993
NM_017449	chr1	+	23037330	23247993
NM_006559	chr1	+	32479294	32509482
NM_001166007	chr1	+	29213602	29446558
NR_073499	chr1	+	32479294	32526460
NR_073498	chr1	+	32479294	32509482
NM_001271878	chr1	+	32479294	32509482
NM_006600	chr1	+	27248212	27273362
NM_001166005	chr1	+	29213602	29446558
NM_203343	chr1	+	29213602	29446558
NM_203342	chr1	+	29213602	29446558
NM_004437	chr1	+	29213602	29446558
NM_001166006	chr1	+	29241087	29391733
NM_005119	chr1	+	36690016	36770957
NM_001321473	chr1	+	36690012	36770957
NM_001321471	chr1	+	36690012	36770957
NM_012090	chr1	+	39549838	39952810
NM_001355224	chr1	+	42929024	43119861
NM_001355226	chr1	+	42921740	43119861
NM_001355227	chr1	+	42929386	43119861
NM_130440	chr1	+	43996530	44089343
NM_001319956	chr1	+	44870831	45117396
NM_002840	chr1	+	43996530	44089343
NM_001319957	chr1	+	44889495	45117396
NM_018150	chr1	+	44870831	45117396
NM_001329140	chr1	+	43996530	44089343
NM_001329139	chr1	+	43996530	44089343
NM_001329138	chr1	+	43991707	44089343
NM_001329137	chr1	+	43991707	44089343
NR_130900	chr1	+	54519244	54578192
NM_153035	chr1	+	54519244	54567321
NM_001193617	chr1	+	53392900	53517289
NM_001193600	chr1	+	53392900	53517289
NM_001193599	chr1	+	53392900	53517289
NM_002979	chr1	+	53392900	53517289
NM_001350798	chr1	+	59762309	60228402
NM_020925	chr1	+	64936475	65158741
NM_001293274	chr1	+	64971596	65158741
NM_018291	chr1	+	59762624	60228402
NM_002303	chr1	+	65886334	66103176
NM_001350797	chr1	+	59762309	60228402
NM_001350796	chr1	+	59762309	60228402
NM_001350795	chr1	+	59762624	60228402
NM_001350793	chr1	+	59762309	60228402
NM_001145512	chr1	+	61547533	61928460
NM_001145511	chr1	+	61542945	61928460
NM_005595	chr1	+	61547979	61928460
NM_001113411	chr1	+	59762624	60228402
NR_103473	chr1	+	59762683	60165066
NM_003368	chr1	+	62902382	62917475
NM_001198689	chr1	+	65991371	66101111
NM_001198688	chr1	+	65991371	66091917
NM_001198687	chr1	+	65991371	66096095
NM_001134673	chr1	+	61547979	61928460
NM_001017416	chr1	+	62901974	62917475
NM_001017415	chr1	+	62901974	62917475
NM_001003680	chr1	+	65886334	66096095
NM_001003679	chr1	+	65886334	66101111
NM_020794	chr1	+	70225857	70589171
NM_001330635	chr1	+	70032867	70589171
NM_001350216	chr1	+	70034436	70589171
NR_146056	chr1	+	76540368	77096669
NM_001349107	chr1	+	76540368	77096669
NM_152996	chr1	+	76540368	77096669
NM_001349111	chr1	+	76540368	77096669
NM_001349110	chr1	+	76540368	77042892
NM_001349109	chr1	+	76540368	77103001
NM_001349108	chr1	+	76540368	77096669
NM_001349106	chr1	+	76540368	77096669
NM_001349105	chr1	+	76540368	77096669
NM_001160011	chr1	+	76540368	77042892
NR_024602	chr1	+	87012758	87046432
NM_032270	chr1	+	90098643	90185094
NM_012128	chr1	+	87012758	87046432
NR_033998	chr1	+	95393583	95428826
NR_125991	chr1	+	96457623	96488436
NM_001312688	chr1	+	107682539	108027521
NM_001113226	chr1	+	107690690	108027521
NM_001113228	chr1	+	107690690	108027521
NM_014917	chr1	+	107682539	108027521
NM_001330665	chr1	+	107683213	108027521
NM_006496	chr1	+	110091185	110138454
NM_002884	chr1	+	112162404	112259317
NM_001291896	chr1	+	112162768	112259317
NM_001010935	chr1	+	112162404	112259317
NM_006784	chr1	+	118472371	118503049
NM_001037501	chr1	+	144593687	144832249
NR_102404	chr1	+	144593687	144832249
NR_102405	chr1	+	144593687	144832249
NM_001037675	chr1	+	144614958	144830407
NM_001277444	chr1	+	144614958	145370304
NR_136328	chr1	+	148876039	148902123
NM_001201326	chr1	+	145727665	145764206
NM_001201325	chr1	+	145727665	145764206
NM_002614	chr1	+	145727665	145764206
NM_001278267	chr1	+	144146810	146467744
NM_001351365	chr1	+	144146811	146467744
NM_001302371	chr1	+	145293370	146466121
NM_001039703	chr1	+	145293370	146466121
NR_036683	chr1	+	165667986	165679199
NM_021642	chr1	+	161475204	161489360
NM_002585	chr1	+	164528596	164821060
NM_001204963	chr1	+	164528596	164821060
