name	chrom	strand	txStart	txEnd
NR_136623	chr1	-	48998526	50489626
NM_001323575	chr1	-	48998526	50489626
NM_001323574	chr1	-	48998526	50489626
NM_001323573	chr1	-	48998526	50489626
NM_032785	chr1	-	48998526	50489626
NM_003243	chr1	-	92145899	92351836
NM_001195684	chr1	-	92145899	92371559
NM_001195683	chr1	-	92145899	92351836
NR_036634	chr1	-	92145899	92351836
NM_001918	chr1	-	100652477	100715409
NM_022457	chr1	-	175913961	176176380
NM_001286644	chr1	-	175913961	176176380
NM_001001740	chr1	-	175913961	176176380
NM_173083	chr1	-	226418849	226497204
NM_001270410	chr1	-	226418849	226497449
NM_001270409	chr1	-	226418849	226497204
NM_001330306	chr1	-	1017197	1051736
NM_017891	chr1	-	1017197	1051736
NM_012405	chr1	-	6281252	6296044
NM_001099850	chr1	-	13328195	13698405
NR_149058	chr1	-	14675449	14746469
NR_135054	chr1	-	19918295	19923326
NR_046507	chr1	-	20969149	20978686
NM_001350166	chr1	-	22005071	22109692
NM_001350164	chr1	-	22005071	22109692
NM_001330394	chr1	-	22005071	22109692
NM_001350168	chr1	-	22005071	22109692
NM_001350167	chr1	-	22005071	22109692
NM_032236	chr1	-	22005071	22109692
NM_001145454	chr1	-	26210676	26232993
NM_014676	chr1	-	31404352	31538564
NM_001282562	chr1	-	28296854	28415148
NM_001282561	chr1	-	28296854	28415148
NM_001282560	chr1	-	28303783	28415148
NM_001990	chr1	-	28296854	28415148
NM_001020658	chr1	-	31404352	31538564
NM_001281956	chr1	-	33979598	34630875
NR_136703	chr1	-	35641978	35658746
NR_136702	chr1	-	35641978	35658746
NM_005066	chr1	-	35649200	35658743
NM_052896	chr1	-	33979598	34631443
NM_021639	chr1	-	46092975	46152302
NM_001194986	chr1	-	48226199	48462562
NM_007051	chr1	-	50906934	51425936
NM_015306	chr1	-	55532031	55681039
NM_001353983	chr1	-	57460450	57890593
NM_002867	chr1	-	52373627	52456436
NM_021080	chr1	-	57460450	58716219
NM_001353985	chr1	-	57460450	57890092
NM_001353986	chr1	-	57460450	57889763
NM_001353980	chr1	-	57609671	58716219
NR_045147	chr1	-	63906440	63988944
NM_001206739	chr1	-	63906440	63988944
NM_001347147	chr1	-	63915129	63988944
NM_014288	chr1	-	63906440	63988944
NM_001347145	chr1	-	63906440	63988944
NM_001347148	chr1	-	63906440	63988944
NM_173808	chr1	-	71868624	72748277
NM_005482	chr1	-	77554666	77685132
NR_110682	chr1	-	89003195	89150887
NM_001134445	chr1	-	85784167	86044046
NM_002061	chr1	-	94350755	94375154
NM_001308253	chr1	-	94350755	94375154
NM_001252269	chr1	-	93307716	93427079
NM_001252270	chr1	-	93307716	93427079
NM_001252273	chr1	-	93298285	93427079
NM_001252271	chr1	-	93307716	93342707
NM_001006605	chr1	-	93307716	93427079
NM_001323041	chr1	-	114239826	114302162
NM_001204269	chr1	-	111136201	111174096
NM_001042679	chr1	-	113243748	113249678
NM_001042678	chr1	-	113243748	113250025
NR_136564	chr1	-	114239826	114302162
NR_136565	chr1	-	114239826	114302162
